entry,hash,alternateHash
179,3557100717,3557100640
180,686682789,686682712
181,41488277,41488200
182,1843465797,1843465720
183,6802645,6802568
184,3133794341,3133794264
185,12749551,12749296
186,1017281503,1017281248
187,3780284095,3780283840
188,531798319,531798064
189,482683047,482682792
190,253749663,253749408
191,3755989647,3755989392
192,3405249575,3405249320
193,3308784951,3308784696
194,2228362823,2228362568
195,268570367,268570112
196,1831997127,1831996872
197,3125968519,3125968264
198,3918510669,3918510592
199,398710485,398710408
200,1997055813,1997055736
201,231392039,231391784
202,1479637445,1479637368
203,2920815309,2920815232
204,482798277,482798200
205,2281845861,2281845784
206,643335309,643335232
207,4187870093,4187870016
208,2912345695,2912345440
209,1801854959,1801854704
210,999431941,999431864
211,375538645,375538568
212,1486591773,1486591696
213,3556118519,3556118264
214,231409645,231409568
215,3752864021,3752863944
216,4276972330,4276972152
217,3513193597,3513193520
218,3815619821,3815619744
219,3922027317,3922027240
220,2294007650,2294007472
221,1329715661,1329715584
222,2505187237,2505187160
223,1276749069,1276748992
224,3545168757,3545168680
225,2613655965,2613655888
226,2041114557,2041114480
227,145064797,145064720
228,1932429701,1932429624
229,1663032053,1663031976
230,4192190573,4192190496
231,1317588981,1317588904
232,1641257578,1641257400
233,698120285,698120208
234,1118595773,1118595696
235,4055635458,4055635280
237,3550438813,3550438736
238,496743730,496743552
239,2104129845,2104129768
240,621474661,621474584
243,484643954,484643776
244,1493254741,1493254664
245,2474051381,2474051304
246,2727650141,2727650064
247,4033599034,4033598856
248,4142429533,4142429456
249,2816945181,2816945104
250,3526691509,3526691432
251,1444549861,1444549784
252,2372305165,2372305088
253,3135971621,3135971544
254,2425287957,2425287880
255,1615477621,1615477544
256,2213851037,2213850960
257,2201213189,2201213112
258,2561441941,2561441864
261,3034854469,3034854392
262,819273557,819273480
263,2546422509,2546422432
264,3761438154,3761437976
265,1652668309,1652668232
266,16923877,16923800
267,1228390909,1228390832
268,112110077,112110000
269,136346693,136346616
270,4163210949,4163210872
271,819793645,819793568
272,2265609808,2265609800
273,1444788741,1444788664
274,639416445,639416368
275,2693620917,2693620840
276,378222181,378222104
277,3966529525,3966529448
278,1169469581,1169469504
279,2209897933,2209897856
280,3804057717,3804057640
281,314859733,314859656
282,1905147669,1905147592
283,3638349069,3638348992
284,4083262141,4083262064
285,4287410165,4287410088
286,1649346117,1649346040
287,492876965,492876888
288,263164597,263164520
289,3570488677,3570488600
290,1040226405,1040226328
291,397807069,397806992
292,2036359397,2036359320
293,3898030005,3898029928
294,3606334341,3606334264
295,3105668149,3105668072
296,3303847997,3303847920
297,2419989309,2419989232
298,2481278733,2481278656
299,2722590845,2722590768
301,1020245245,1020245168
302,1623649829,1623649752
303,2729989373,2729989296
304,3303379405,3303379328
305,1276593717,1276593640
306,3044459709,3044459632
307,2324580925,2324580848
308,2960300565,2960300488
309,525471997,525471920
310,3184761309,3184761232
311,1436180325,1436180248
312,552727797,552727720
313,1583306069,1583305992
314,611690869,611690792
315,1453840085,1453840008
317,1865263941,1865263864
318,688250421,688250344
319,2028259693,2028259616
320,3528484349,3528484272
321,2261216477,2261216400
322,3765140613,3765140536
323,1212292365,1212292288
324,3619351373,3619351296
325,2431657213,2431657136
328,3907037789,3907037712
329,1862380965,1862380888
330,1640898581,1640898504
331,1980002829,1980002752
332,3148407085,3148407008
333,2212120637,2212120560
334,3761564309,3761564232
335,3713273813,3713273736
336,3895691789,3895691712
337,1314270733,1314270656
338,3437832831,3437832576
339,3622247079,3622246824
340,1272689519,1272689264
341,1437091551,1437091296
342,12878879,12878624
343,4148450949,4148450872
344,1997690829,1997690752
345,3916759397,3916759320
346,1205501629,1205501552
347,189031189,189031112
348,1845244695,1845244440
349,1854104239,1854103984
350,2517047581,2517047504
351,4283260359,4283260104
353,3402590989,3402590912
354,1647773802,1647773624
355,233404330,233404152
356,1254015434,1254015256
357,67625138,67624960
358,2664584194,2664584016
359,2135401834,2135401656
360,325361410,325361232
361,1331312218,1331312040
362,551448498,551448320
363,3097990128,3097990112
364,4083622250,4083622072
365,1419886754,1419886576
366,3117709186,3117709008
367,4201412544,4201412528
368,1315737184,1315737168
369,615827024,615827008
370,1787900898,1787900720
371,3234401474,3234401296
372,623458282,623458104
373,3402674421,3402674344
374,971165618,971165440
375,1019631610,1019631432
376,1133791962,1133791784
377,2772227941,2772227864
378,654876693,654876616
379,4004504626,4004504448
380,2615305018,2615304840
381,2939904194,2939904016
382,4096695994,4096695816
383,1422065754,1422065576
384,782779661,782779584
385,1622050493,1622050416
386,1185395037,1185394960
387,3162494373,3162494296
388,2866819845,2866819768
389,3204607869,3204607792
391,529924589,529924512
392,1614790701,1614790624
393,4001586997,4001586920
394,4139585789,4139585712
395,2040049949,2040049872
396,1064401269,1064401192
397,503606121,503606056
398,1944716722,1944716544
399,2655299237,2655299160
400,569814701,569814624
401,3304446917,3304446840
403,2963347093,2963347016
404,3878458002,3878457824
405,860166874,860166696
407,3800698474,3800698296
408,1481241954,1481241776
409,356716890,356716712
410,1080358714,1080358536
411,313936770,313936592
412,3644040509,3644040432
413,2882877765,2882877688
414,1713633813,1713633736
415,3647661629,3647661552
416,3910827637,3910827560
417,2178626501,2178626424
418,2358066125,2358066048
419,3251913205,3251913128
420,934255773,934255696
421,3393529818,3393529640
422,2449335258,2449335080
423,91100778,91100600
424,144048658,144048480
425,3404120282,3404120104
426,2867435042,2867434864
427,2843815266,2843815088
428,995949914,995949736
429,1016979010,1016978832
430,4046401506,4046401328
431,7954746,7954568
432,2689457373,2689457296
433,2098106501,2098106424
434,2803966381,2803966304
435,2914928474,2914928296
436,607870853,607870776
437,3989804026,3989803848
438,452846146,452845968
439,1128979986,1128979808
440,1152770522,1152770344
441,3440921658,3440921480
442,556077818,556077640
443,3626672946,3626672768
444,654366082,654365904
445,389424722,389424544
446,3092822514,3092822336
447,2420466586,2420466408
448,2671410906,2671410728
449,3652293394,3652293216
450,4170531258,4170531080
451,3664084106,3664083928
452,117033074,117032896
453,1518817533,1518817456
454,2954428605,2954428528
455,1185299053,1185298976
456,1961053789,1961053712
457,2597010493,2597010416
458,676972869,676972792
459,4264157309,4264157232
460,2796603290,2796603112
461,315444354,315444176
463,2226069669,2226069592
464,829258093,829258016
465,4010609509,4010609432
466,3419419349,3419419272
467,2562165637,2562165560
468,797772293,797772216
469,1490168293,1490168216
470,2069000509,2069000432
471,3907511125,3907511048
472,374545253,374545176
473,4083245037,4083244960
474,1711486429,1711486352
475,2759173245,2759173168
476,3431699581,3431699504
477,3158871674,3158871496
478,1875749434,1875749256
479,3383057274,3383057096
480,3352795482,3352795304
481,3953835994,3953835816
482,1895165210,1895165032
483,1413711205,1413711128
484,1066717821,1066717744
485,2790670727,2790670472
486,2614330213,2614330136
487,4210999549,4210999472
488,3357906333,3357906256
489,2720181189,2720181112
491,2309870914,2309870736
492,420290482,420290304
493,1469889746,1469889568
494,1308963082,1308962904
495,1303124178,1303124000
496,2274331874,2274331696
498,58677210,58677032
499,1334775098,1334774920
500,1165520629,1165520552
501,960326938,960326760
502,3366782010,3366781832
503,617943570,617943392
504,1533687557,1533687480
505,54326237,54326160
506,2479206330,2479206152
507,3498620250,3498620072
508,1275948978,1275948800
509,2121056578,2121056400
510,3681982149,3681982072
511,2710612557,2710612480
512,1475566933,1475566856
513,4143773314,4143773136
514,3717333813,3717333736
515,874354658,874354480
516,2893004394,2893004216
517,1923932426,1923932248
518,3126603978,3126603800
519,873758602,873758424
520,3421276370,3421276192
521,2296136138,2296135960
522,1450752197,1450752120
523,2513770957,2513770880
524,4101821882,4101821704
525,641283453,641283376
526,1657733453,1657733376
527,1062068898,1062068720
528,3154992778,3154992600
529,1269184218,1269184040
530,894423362,894423184
531,1233573437,1233573360
532,1215733186,1215733008
533,3810282874,3810282696
535,12872578,12872400
536,3982920485,3982920408
537,2218537941,2218537864
538,3965717037,3965716960
539,2261623074,2261622896
540,1279517869,1279517792
541,405676786,405676608
542,4040054141,4040054064
543,599002733,599002656
544,2389891314,2389891136
545,497084666,497084488
546,3405881394,3405881216
547,2042058794,2042058616
549,236395010,236394832
550,830836338,830836160
551,3598473221,3598473144
552,4000892770,4000892592
553,3285817690,3285817512
554,3720534309,3720534232
555,3788283373,3788283296
556,233761562,233761384
557,3542502986,3542502808
558,991559856,991559856
559,2631372589,2631372512
560,39787493,39787416
561,710341925,710341848
562,644454757,644454680
563,1110716525,1110716448
564,2216950405,2216950328
565,2691014709,2691014632
566,391097546,391097368
567,2193792090,2193791912
568,3431881338,3431881160
569,1193185098,1193184920
570,1180963698,1180963520
571,3315315002,3315314824
572,3471566850,3471566672
573,946086338,946086160
574,1819928581,1819928504
575,1509544487,1509544232
576,2960950895,2960950640
577,952275231,952274976
578,2545470749,2545470672
579,3497023125,3497023048
580,2425876159,2425875904
581,1121312506,1121312328
582,2663136178,2663136000
583,1068517335,1068517080
584,3878162578,3878162400
585,2891330810,2891330632
586,765961346,765961168
587,4099143263,4099143008
588,1861256042,1861255864
589,1311621154,1311620976
590,670452018,670451840
591,2850537346,2850537168
592,1790694194,1790694016
593,7790138,7789960
594,2320607815,2320607560
595,505726863,505726608
596,135324410,135324232
597,3789336703,3789336448
598,3576424018,3576423840
599,3503605935,3503605680
600,2231081639,2231081384
601,2703250893,2703250816
602,1547619389,1547619312
603,3048226813,3048226736
604,3278222527,3278222272
605,2212307831,2212307576
606,67364439,67364184
607,2210354863,2210354608
608,3283974023,3283973768
609,3206055295,3206055040
610,4248718653,4248718576
611,720996965,720996888
613,1255643703,1255643448
614,388014893,388014816
615,275171071,275170816
616,2885732405,2885732328
617,2763599943,2763599688
618,2923459375,2923459120
619,3228374023,3228373768
621,739719015,739718760
622,99343845,99343768
623,776026341,776026264
624,2798800063,2798799808
625,2798800575,2798800320
626,2798801599,2798801344
627,2147253301,2147253224
628,3516956159,3516955904
629,1179966090,1179965912
630,2320646935,2320646680
631,75587693,75587616
632,3885094973,3885094896
633,3569957301,3569957224
634,1664838989,1664838912
635,3953587503,3953587248
636,3847233079,3847232824
637,2896253333,2896253256
638,1590166578,1590166400
639,614448258,614448080
640,3117016770,3117016592
641,18491922,18491744
642,88971991,88971736
643,1707327986,1707327808
644,3892384498,3892384320
645,1358100994,1358100816
646,203083898,203083720
647,757906237,757906160
648,693527839,693527584
649,808143370,808143192
650,2546182282,2546182104
651,2273058031,2273057776
652,147161727,147161472
653,2733467581,2733467504
654,2757902754,2757902576
655,266675514,266675336
656,1047459240,1047459240
657,4017463269,4017463192
658,970351741,970351664
659,386805293,386805216
660,1208349157,1208349080
661,1743637597,1743637520
662,1521495943,1521495688
663,125118015,125117760
664,2438305479,2438305224
665,3013859079,3013858824
666,2212799903,2212799648
667,130611095,130610840
668,2688789759,2688789504
669,564917191,564916936
670,2742286543,2742286288
671,4001794138,4001793960
672,2267820538,2267820360
673,753848802,753848624
674,976977402,976977224
675,1202930874,1202930696
676,1845413170,1845412992
677,3749301234,3749301056
678,1766432786,1766432608
679,687448866,687448688
680,3449488578,3449488400
681,1207131485,1207131408
682,4029543965,4029543888
683,2580144157,2580144080
684,3850733133,3850733056
685,3054720349,3054720272
686,614887421,614887344
687,2515721743,2515721488
688,824005778,824005600
689,3939922669,3939922592
690,2589939293,2589939216
691,3117376749,3117376672
692,1495886607,1495886352
693,3451919757,3451919680
694,1936289477,1936289400
695,762726821,762726744
696,1216165629,1216165552
697,1901043093,1901043016
698,3835111986,3835111808
699,2244422298,2244422120
700,899555221,899555144
701,545558018,545557840
702,1146365498,1146365320
703,1605922903,1605922648
704,3434564365,3434564288
705,1477802095,1477801840
706,2799663301,2799663224
707,2361128941,2361128864
708,3328490285,3328490208
709,4243530319,4243530064
710,2455358887,2455358632
711,3499729847,3499729592
712,4254709575,4254709320
713,2272449383,2272449128
714,3441439935,3441439680
715,2440549199,2440548944
716,255561367,255561112
717,1573277861,1573277784
718,2147662389,2147662312
719,2810218573,2810218496
720,539468397,539468320
721,3901178661,3901178584
722,885767485,885767408
723,1877180589,1877180512
724,2828761021,2828760944
725,3233230509,3233230432
726,829882885,829882808
727,4210602997,4210602920
728,62871418,62871240
729,1169970005,1169969928
730,2720658701,2720658624
731,2628071757,2628071680
732,986949149,986949072
733,3320852293,3320852216
734,562391615,562391360
735,1237014741,1237014664
736,996891066,996890888
737,976425455,976425200
738,3354226429,3354226352
739,1426759469,1426759392
741,2475999429,2475999352
742,4055895042,4055894864
743,1449638066,1449637888
744,3413367682,3413367504
745,3843816834,3843816656
746,3270161338,3270161160
747,3066341194,3066341016
748,3085470560,3085470528
749,2728685762,2728685584
750,2183285986,2183285808
751,2724480226,2724480048
752,297675714,297675536
753,1238798378,1238798200
754,2595004784,2595004752
755,4152811538,4152811360
756,1797931944,1797931912
757,3502155554,3502155376
758,3502459688,3502459656
759,2051302640,2051302608
760,2783797040,2783797008
761,3238533930,3238533752
762,632704309,632704232
763,1130311002,1130310824
764,611961738,611961560
765,667847874,667847696
766,3223239610,3223239432
767,2397090082,2397089904
768,4090411666,4090411488
769,2648441866,2648441688
770,2892538498,2892538320
771,3223929162,3223928984
772,3178331786,3178331608
773,2534456402,2534456224
775,1190367898,1190367720
776,2076116058,2076115880
777,3031798935,3031798680
778,19294239,19293984
779,2959418247,2959417992
780,2289221650,2289221472
781,3838013162,3838012984
782,2670184714,2670184536
783,1776565109,1776565032
784,1621060586,1621060408
786,3981859658,3981859480
787,4224603402,4224603224
788,1426477242,1426477064
789,3179000618,3179000440
790,4003235650,4003235472
791,3577511882,3577511704
792,3118631154,3118630976
793,505042538,505042360
794,2501324658,2501324480
795,2959426682,2959426504
804,1955379146,1955378968
805,1067444282,1067444104
806,3746141602,3746141424
808,3353834394,3353834216
809,676027226,676027048
812,4146666650,4146666472
813,2963179514,2963179336
815,765190074,765189896
816,1315490194,1315490016
817,3118222898,3118222720
818,370534570,370534392
819,2789137770,2789137592
821,1463784034,1463783856
822,2779216642,2779216464
823,963090066,963089888
824,1626872834,1626872656
825,3314871874,3314871696
826,4003656890,4003656712
827,499856202,499856024
828,3592273962,3592273784
829,1485372850,1485372672
830,1579250890,1579250712
831,1360639778,1360639600
832,3848524074,3848523896
833,2118818226,2118818048
834,3089998162,3089997984
835,2150321522,2150321344
836,1722237391,1722237136
837,893745186,893745008
838,1919822866,1919822688
840,734699746,734699568
841,944037906,944037728
842,1166850426,1166850248
843,2167073050,2167072872
844,3989126474,3989126296
845,1517467578,1517467400
846,2952157650,2952157472
847,2277846394,2277846216
848,2303129178,2303129000
849,156096226,156096048
850,1289989402,1289989224
851,3114598570,3114598392
852,2723333794,2723333616
853,3285308738,3285308560
854,2281209672,2281209640
855,1545783298,1545783120
857,10781346,10781168
858,326329879,326329624
860,2641519226,2641519048
861,1603382250,1603382072
862,28391026,28390848
863,1059650703,1059650448
864,286566906,286566728
865,2813990847,2813990592
866,3722507991,3722507736
867,4142313274,4142313096
868,2108999226,2108999048
869,3785779498,3785779320
870,2208421042,2208420864
871,4292059298,4292059120
872,2077376978,2077376800
873,2255617074,2255616896
874,578111346,578111168
875,2289775394,2289775216
876,3365189170,3365188992
877,286377890,286377712
878,4038793858,4038793680
879,4064918890,4064918712
880,468404282,468404104
881,1106765282,1106765104
882,3269431154,3269430976
883,1653215690,1653215512
884,3756191658,3756191480
885,3441433962,3441433784
886,1322390482,1322390304
887,3517355575,3517355320
888,1995045727,1995045472
889,1617901498,1617901320
890,4060594935,4060594680
891,3990489090,3990488912
892,2177876247,2177875992
893,2233232554,2233232376
894,201768431,201768176
895,2158342735,2158342480
896,2656167847,2656167592
897,4126597842,4126597664
898,69978650,69978472
899,2167072298,2167072120
900,1335318823,1335318568
901,1182720655,1182720400
902,194422471,194422216
903,3130142114,3130141936
905,2423749450,2423749272
906,2757854362,2757854184
907,3483002306,3483002128
910,3330274594,3330274416
911,647652314,647652136
913,2202183506,2202183328
914,526082082,526081904
915,107318386,107318208
916,1277145501,1277145424
917,2950192461,2950192384
918,1862917717,1862917640
919,2364189165,2364189088
920,173022757,173022680
921,3779547645,3779547568
922,2249236821,2249236744
923,2875755309,2875755232
924,4068330362,4068330184
925,2827791242,2827791064
926,1349640250,1349640072
927,4212317221,4212317144
928,658982741,658982664
929,3898560005,3898559928
930,2985035837,2985035760
931,866040101,866040024
932,3993888973,3993888896
933,8875109,8875032
934,172976221,172976144
935,1161253557,1161253480
936,1341976146,1341975968
937,3726963837,3726963760
938,2743738477,2743738400
939,1061075141,1061075064
940,1432467277,1432467200
941,2072185981,2072185904
942,4285418341,4285418264
943,3711871805,3711871728
944,890541413,890541336
945,433925373,433925296
947,2333542005,2333541928
948,4023064629,4023064552
949,1987777221,1987777144
950,4207757277,4207757200
951,36969925,36969848
952,2530963797,2530963720
953,2539100653,2539100576
954,733448901,733448824
955,3731840533,3731840456
956,1538760165,1538760088
957,306710389,306710312
958,2174885181,2174885104
959,461742647,461742392
961,3496923797,3496923720
962,366479138,366478960
963,3235723429,3235723352
964,2482527946,2482527768
965,358172165,358172088
966,3655428621,3655428544
967,2409189077,2409189000
968,194393501,194393424
969,797923327,797923072
970,3519640765,3519640688
971,3714658517,3714658440
972,2156490170,2156489992
973,3181993485,3181993408
974,2715103415,2715103160
975,1268220607,1268220352
976,1808878845,1808878768
977,2115738351,2115738096
978,3689439533,3689439456
979,261335397,261335320
980,453473375,453473120
981,3103336269,3103336192
982,4004794141,4004794064
983,2167644301,2167644224
984,960178109,960178032
985,3554359269,3554359192
986,1800505405,1800505328
990,1493513957,1493513880
991,2960371229,2960371152
992,123760255,123760000
993,907645253,907645176
994,477023485,477023408
995,698150053,698149976
996,2962126535,2962126280
997,3394670317,3394670240
998,2962127559,2962127304
1000,84855866,84855688
1001,3671288789,3671288712
1002,3745204317,3745204240
1003,4245954981,4245954904
1004,84857914,84857736
1007,3615432541,3615432464
1008,3056993093,3056993016
1009,4221108901,4221108824
1010,4167595997,4167595920
1011,4228468245,4228468168
1012,3620727021,3620726944
1013,3979042226,3979042048
1014,849229026,849228848
1015,2455171405,2455171328
1016,575762173,575762096
1017,3562019197,3562019120
1018,84865082,84864904
1019,2455173453,2455173376
1020,4138864653,4138864576
1021,2326761261,2326761184
1022,2947905037,2947904960
1023,2639044317,2639044240
1024,2023502989,2023502912
1025,2070220605,2070220528
1026,1490335773,1490335696
1027,2140965493,2140965416
1028,2379497317,2379497240
1029,1037313893,1037313816
1030,3683961717,3683961640
1031,2580996205,2580996128
1032,66805037,66804960
1033,2183959813,2183959736
1034,4257535253,4257535176
1035,472229765,472229688
1036,2377008359,2377008104
1037,4161043589,4161043512
1038,2672139829,2672139752
1039,2561009149,2561009072
1040,4129546245,4129546168
1041,3862090861,3862090784
1042,3000066877,3000066800
1043,1590500589,1590500512
1044,700121405,700121328
1045,2522135573,2522135496
1046,4292668597,4292668520
1047,2455187789,2455187712
1048,281335770,281335592
1049,2440512730,2440512568
1050,4113878357,4113878280
1051,16325426,16325248
1052,2509404821,2509404744
1053,2697243749,2697243672
1054,3382997405,3382997328
1055,3359396221,3359396144
1056,36587261,36587184
1057,523751493,523751416
1058,675550418,675550240
1059,2039941413,2039941336
1060,1063378930,1063378752
1061,3590831042,3590830864
1062,2780102914,2780102736
1063,501549506,501549328
1064,537892802,537892624
1065,2940440466,2940440288
1066,475825794,475825616
1067,512872234,512872056
1068,3362772018,3362771840
1069,1450168751,1450168496
1070,1934783941,1934783864
1071,4201670949,4201670872
1072,1583010741,1583010664
1073,1336724317,1336724240
1074,2858195453,2858195376
1075,3751516229,3751516152
1076,2856654925,2856654848
1077,1694194549,1694194472
1078,4145215277,4145215200
1079,2174416117,2174416040
1080,3310116213,3310116136
1081,2127575677,2127575600
1082,3505570653,3505570576
1083,4139651325,4139651248
1084,1956907437,1956907360
1085,1711905133,1711905056
1086,3259072970,3259072792
1087,3161406410,3161406232
1088,1068435258,1068435080
1089,90156106,90155928
1090,3080291407,3080291152
1091,3778075981,3778075904
1092,1526833791,1526833536
1093,2878392055,2878391800
1094,4890463,4890208
1095,1090171343,1090171088
1096,3945773823,3945773568
1097,1082917173,1082917096
1098,2599930938,2599930760
1100,3582384629,3582384552
1101,2393653541,2393653464
1102,3971822882,3971822704
1103,1231765818,1231765640
1104,1888456151,1888455896
1105,1283194023,1283193768
1106,2014667863,2014667608
1107,3060400743,3060400488
1108,3241033351,3241033096
1109,3378726874,3378726696
1110,3830319023,3830318768
1111,3871460479,3871460224
1112,3155747807,3155747552
1113,824839330,824839152
1114,1298442167,1298441912
1115,2133261615,2133261360
1116,2560933119,2560932864
1117,1704515511,1704515256
1118,3825680223,3825679968
1119,1243175239,1243174984
1120,370948167,370947912
1121,2324335983,2324335728
1122,1791975471,1791975216
1123,3381637714,3381637536
1124,407124079,407123824
1125,2750631079,2750630824
1126,1604629391,1604629136
1127,1289757375,1289757120
1130,3541494730,3541494552
1131,3233580066,3233579888
1132,948862549,948862472
1133,2161914277,2161914200
1134,1410805221,1410805144
1135,3738505293,3738505216
1136,667340834,667340656
1137,1353914423,1353914168
1138,1999840821,1999840744
1139,981057821,981057744
1140,2661493357,2661493280
1141,2642971749,2642971672
1142,3143108293,3143108216
1143,432732941,432732864
1144,2156288111,2156287856
1145,3777596826,3777596648
1146,3820590594,3820590416
1147,2761568842,2761568664
1148,778752266,778752088
1149,1645996690,1645996512
1150,2293654250,2293654072
1151,4205452466,4205452288
1152,707687898,707687720
1153,1294977714,1294977536
1154,4075746154,4075745976
1159,204865474,204865296
1160,2534316762,2534316584
1164,1487048778,1487048600
1166,2567801714,2567801536
1167,351455533,351455456
1168,762899322,762899144
1169,4182862626,4182862448
1170,1738415330,1738415152
1171,2178285498,2178285320
1172,803622578,803622400
1173,3637455242,3637455064
1175,1105845663,1105845408
1176,3957099183,3957098928
1177,1615062639,1615062384
1178,1818480199,1818479944
1179,4056858997,4056858920
1180,3566993119,3566992864
1181,2887512807,2887512552
1182,3229370207,3229369952
1183,647781383,647781128
1184,3369234282,3369234104
1185,3498348871,3498348616
1186,1624817375,1624817120
1187,862325223,862324968
1188,1685272439,1685272184
1189,1641774799,1641774544
1190,3415224575,3415224320
1191,2424097095,2424096840
1192,2958203783,2958203528
1193,542179847,542179592
1194,2005274439,2005274184
1195,2448664738,2448664560
1196,1069792490,1069792312
1197,422293538,422293360
1198,3946903277,3946903200
1199,302516749,302516672
1200,3478032517,3478032440
1201,2246518330,2246518152
1202,2267681010,2267680832
1203,1105933783,1105933528
1204,3043765445,3043765368
1205,1523302434,1523302256
1206,2971612999,2971612744
1218,2437902087,2437901832
1219,1457671229,1457671152
1220,2037409213,2037409136
1221,3493398871,3493398616
1222,892547557,892547480
1238,1225421602,1225421424
1239,1437376026,1437375848
1240,1999257114,1999256936
1241,314142637,314142560
1242,1023005373,1023005296
1243,1648995789,1648995712
1244,4092190349,4092190272
1245,2724313349,2724313272
1246,3048314541,3048314464
1247,3859909405,3859909328
1248,416908933,416908856
1249,1693582965,1693582888
1250,416909957,416909880
1251,1207173770,1207173592
1252,11347365,11347288
1253,3129743213,3129743136
1258,175863613,175863536
1259,2246395181,2246395104
1260,2595970357,2595970280
1261,3404430938,3404430760
1262,4160763178,4160763000
1264,415875861,415875784
1265,3971079597,3971079520
1266,453624165,453624088
1267,2527712165,2527712088
1268,2357408170,2357407992
1269,1413821954,1413821776
1270,1175163658,1175163480
1271,3499640725,3499640648
1273,3766754866,3766754688
1274,286902109,286902032
1275,1358746989,1358746912
1276,96216674,96216496
1282,239424229,239424152
1284,3453706893,3453706816
1285,3777325629,3777325552
1286,1684684581,1684684504
1287,3272732525,3272732448
1301,2129436293,2129436216
1302,1611450685,1611450608
1318,2578776247,2578775992
1319,2281475333,2281475256
1320,2889636589,2889636512
1321,3856437322,3856437144
1322,3613690338,3613690160
1323,1248611658,1248611480
1324,468859941,468859864
1338,2824499797,2824499720
1339,244190765,244190688
1358,2123770314,2123770136
1359,958603394,958603216
